"FORENAME";"NAME";"COUNTRY";"BIRTH_DATE";"HOBBIES";"GUEST_ANIMAL_ALLERGY";"HOST_HAS_ANIMAL";"GUEST_FOOD";"HOST_FOOD";"GENDER";"PAIR_GENDER";"HISTORY"
"Zupaugh";"Kizi";"SPAIN";"2008-07-05";"sports,culture";"no";"no";"";"";"male";"";""
"Clulilkir";"Shurune";"FRANCE";"2006-02-06";"science,culture";"no";"no";"";"";"male";"";""
"Hulanzeep";"Paflyn";"SPAIN";"2007-12-19";"science,reading,culture";"yes";"no";"vegetarian";"";"male";"";"other"
"Claudette";"Krauss";"FRANCE";"2008-09-06";"";"yes";"no";"";"vegetarian";"female";"female";"same"
"Epkagut";"Atae";"SPAIN";"2006-08-22";"";"no";"yes";"";"";"female";"male";"other"
"Bulak";"Alzim";"ITALY";"2007-02-25";"reading,science";"yes";"yes";"nonuts";"";"female";"female";"other"
"Xuag";"Zhoumai";"GERMANY";"2006-09-07";"";"no";"yes";"nonuts";"";"female";"";"same"
"Sladdwaham";"Qazahne";"SPAIN";"2010-06-17";"sports";"no";"no";"";"nonuts";"male";"";""
"Hillnar";"Thunelle";"ITALY";"2006-05-28";"reading,culture,science";"no";"no";"";"";"other";"";""
"Clukwast";"Eruquam";"SPAIN";"2007-12-23";"reading,sports";"yes";"no";"";"";"female";"";""
"Wibiempeg";"Evior";"FRANCE";"2009-10-14";"reading";"yes";"no";"";"";"female";"";""
"Smensbost";"Avoxar";"FRANCE";"2009-05-14";"sports,culture";"no";"yes";"";"";"male";"";""
"Asha";"Victor";"GERMANY";"2006-07-17";"sports";"yes";"no";"";"";"male";"";""
"Ug";"Zelaji";"ITALY";"2008-04-20";"culture";"no";"yes";"";"";"female";"male";"same"
"Smambeth";"Aphi";"SPAIN";"2009-06-02";"sports,science";"no";"yes";"vegetarian,nonuts";"";"female";"male";"other"
"Cleo";"Drach";"SPAIN";"2007-05-06";"culture,science,reading";"no";"yes";"nonuts";"vegetarian";"female";"other";""
"Shearah";"Vigil";"SPAIN";"2010-10-28";"science,reading";"yes";"no";"nonuts";"";"male";"";"same"
"Jogug";"Juma";"SPAIN";"2006-06-19";"";"no";"yes";"";"";"male";"";"other"
"Coral";"Trevil";"GERMANY";"2010-08-07";"science";"yes";"yes";"";"nonuts";"male";"";"same"
"Rainer";"Knotley";"SPAIN";"2007-04-08";"reading,science";"yes";"yes";"";"";"female";"";"other"
"Glypwebys";"Qribin";"SPAIN";"2007-01-02";"";"no";"yes";"";"";"female";"";""
"Adonia";"Digby";"FRANCE";"2007-04-19";"";"yes";"no";"";"";"male";"";""
"Snipnost";"Iminydae";"SPAIN";"2006-06-20";"sports";"no";"yes";"nonuts,vegetarian";"";"male";"";"same"
"Xolag";"Kea";"ITALY";"2010-06-06";"culture,science";"no";"yes";"nonuts,vegetarian";"";"male";"male";""
"Bellatrix";"Interfector";"GERMANY";"2007-01-14";"reading,sports,science";"no";"yes";"";"";"male";"female";"other"
"Yak";"Alzim";"GERMANY";"2007-06-24";"culture,sports,science";"yes";"no";"nonuts";"";"female";"female";"same"
"Hinkkost";"Enaxx";"GERMANY";"2006-02-16";"reading,sports";"no";"no";"";"";"female";"";"same"
"Damek";"Crypt";"SPAIN";"2008-10-27";"science";"yes";"yes";"";"";"female";"female";"same"
"Jasion";"Snow";"SPAIN";"2007-06-27";"reading";"no";"no";"";"";"male";"";"same"
"Fensmyl";"Etinaxis";"ITALY";"2009-12-17";"science,culture,reading";"no";"no";"";"";"male";"male";""
"Teddur";"Movia";"GERMANY";"2009-08-02";"sports,science";"no";"yes";"vegetarian";"";"male";"";""
"Xurek";"Melelea";"SPAIN";"2009-08-16";"reading,science";"no";"no";"vegetarian,nonuts";"";"male";"";"same"
"Avery";"Discord";"ITALY";"2006-12-12";"";"no";"no";"";"";"male";"male";""
"Byborbeck";"Onuzora";"GERMANY";"2006-08-24";"science";"no";"yes";"vegetarian";"vegetarian";"male";"";"same"
"Rolfish";"Zallah";"SPAIN";"2010-08-22";"sports,science";"no";"yes";"nonuts";"vegetarian";"female";"female";"other"
"Limdes";"Jopius";"ITALY";"2006-08-01";"reading";"no";"yes";"";"vegetarian,nonuts";"female";"";"other"
"Piddeehan";"Coflyn";"SPAIN";"2010-03-06";"reading,culture";"no";"no";"";"";"female";"";""
"Bugrol";"Zyra";"GERMANY";"2008-12-03";"culture,reading,science";"yes";"yes";"nonuts";"";"male";"male";""
"Eoin";"Graves";"GERMANY";"2006-09-01";"reading";"no";"yes";"";"vegetarian";"male";"";""
"Kaspar";"Maleficum";"FRANCE";"2006-09-19";"";"no";"no";"";"";"male";"male";""
"Glob";"Raca";"SPAIN";"2006-10-11";"sports,reading";"no";"no";"";"";"female";"";"same"
"Ulyglet";"Okely";"SPAIN";"2010-03-07";"";"no";"yes";"";"";"male";"";"same"
"Lurbuk";"Khelynn";"ITALY";"2010-04-25";"culture";"no";"no";"";"";"female";"";""
"Karrghed";"Lakjin";"GERMANY";"2008-06-09";"culture,reading";"no";"yes";"";"";"female";"female";""
"Fnakmass";"Proxar";"ITALY";"2007-08-15";"";"no";"yes";"";"vegetarian";"female";"";""
"Lavina";"Tombend";"FRANCE";"2007-09-08";"science,culture";"yes";"yes";"";"";"male";"";""
"Pofhug";"Atae";"GERMANY";"2008-05-20";"reading";"no";"yes";"";"";"other";"";"same"
"Shagar";"Halasuwa";"ITALY";"2010-08-08";"";"no";"no";"vegetarian,nonuts";"";"other";"";""
"Ipnuball";"Duharith";"ITALY";"2007-10-11";"reading,science";"no";"yes";"";"";"female";"female";"same"
"Kayne";"Raven";"SPAIN";"2010-10-26";"";"no";"yes";"";"";"male";"";""
"Lanirbip";"Ahinora";"GERMANY";"2007-01-24";"reading";"yes";"yes";"";"";"male";"";"same"
"Adwehin";"Pamarim";"GERMANY";"2007-01-17";"";"no";"no";"nonuts,vegetarian";"";"male";"";""
"Leander";"Talbot";"GERMANY";"2008-09-08";"culture,reading";"yes";"no";"";"";"male";"";""
"Rogmesh";"Erodjan";"SPAIN";"2008-06-23";"";"no";"yes";"";"nonuts";"male";"";"same"
"Zornaraugh";"Prerrahar";"SPAIN";"2008-02-26";"culture";"no";"yes";"";"";"female";"female";""
"Lazar";"Naxxremis";"FRANCE";"2010-06-12";"";"yes";"yes";"vegetarian";"";"male";"male";""
"Fontayne";"Panther";"FRANCE";"2008-02-22";"sports,science";"no";"no";"vegetarian";"";"female";"male";""
"Gerard";"Tempest";"SPAIN";"2007-08-08";"reading";"no";"yes";"";"";"female";"female";""
"Mortimer";"Bloodgood";"ITALY";"2006-08-20";"science,culture";"no";"yes";"";"";"male";"male";""
"Barrett";"Keeling";"GERMANY";"2006-06-24";"sports,culture";"no";"yes";"";"vegetarian,nonuts";"male";"";""
"Lallbaa";"Dhutorn";"ITALY";"2006-04-23";"";"no";"yes";"nonuts,vegetarian";"";"male";"";"other"
"Knobbrast";"Strelore";"GERMANY";"2007-02-07";"science";"no";"yes";"";"";"male";"";""
"Gul";"Reji";"FRANCE";"2010-09-20";"culture,science,sports";"no";"no";"vegetarian";"";"female";"";""
"Borba";"Yuhai";"GERMANY";"2007-08-07";"sports,science";"no";"yes";"";"";"female";"male";"same"
"Igubat";"Rangi";"SPAIN";"2008-11-03";"science,reading,sports";"no";"yes";"";"";"female";"female";"other"
"Yagnatz";"Laojin";"SPAIN";"2007-09-24";"";"yes";"yes";"";"";"female";"male";"other"
"Phelnyll";"Shurihann";"GERMANY";"2009-10-16";"sports";"no";"yes";"vegetarian";"";"male";"male";""
"Lesadlum";"Olafeus";"SPAIN";"2006-08-24";"science,culture";"no";"yes";"";"nonuts,vegetarian";"male";"";"same"
"Bildud";"Zufem";"SPAIN";"2007-08-03";"";"yes";"no";"nonuts,vegetarian";"";"male";"other";""
"Jasmine";"White";"ITALY";"2006-07-26";"culture";"no";"yes";"nonuts";"";"female";"";""
"Ira";"Highmore";"GERMANY";"2009-11-14";"reading,science";"no";"no";"";"";"male";"male";"other"
"Kneprygam";"Luqiohne";"ITALY";"2010-02-28";"culture";"no";"yes";"";"";"male";"female";""
"Torin";"Shadowend";"GERMANY";"2007-11-08";"";"no";"yes";"";"";"male";"";"same"
